courseno,classno,title,classification,instructor,credit,hour
36593,1,Group Piano II,Major elective,Ji Yang,1,1.5
34837,1,Keyboard Literature IV,Major elective,Yoong Kyung Ahn,2,2
34859,1,Song Literature II,Major requisite,PARK YI YEON,2,2
34864,1,History of Opera,Major elective,KIM  EUN HEE,2,2
34819,1,Contemporary Music II,Major elective,Michael Sidney Timpson,2,2
20866,1,Korean Music LiteratureⅡ,Major elective,Myosin Kim,2,2
36640,1,Korean Music EnsembleⅥ,Major requisite,Chung Yeon Yoo,1,2
36640,2,Korean Music EnsembleⅥ,Major requisite,BAEK Mi Jin,1,2
36640,3,Korean Music EnsembleⅥ,Major requisite,KIM  hyeran,1,2
36649,1,Computer Music in a Korean Traditional MusicⅡ,Major elective,Hyun Jung Ahn,1,1.5
36649,2,Computer Music in a Korean Traditional MusicⅡ,Major elective,Hyun Jung Ahn,1,1.5
37871,1,Korean Traditional String EnsembleⅥ,Major elective,LEE Su Eun/ KIM SO YEON,1,2
37895,1,Korean Music CompositionⅥ,Major elective,Hyun Jung Ahn,1,2
20870,1,Korean Music Analysis II,Major elective,KIM  hyeran,2,2
36642,1,Korean Music Ensemble VIII,Major requisite,Chung Yeon Yoo,1,2
36642,2,Korean Music Ensemble VIII,Major requisite,BAEK Mi Jin,1,2
36642,3,Korean Music Ensemble VIII,Major requisite,KIM  hyeran,1,2
36646,1,Korean Music Ensemble VIII,Major elective,LEE Su Eun/ KIM SO YEON,1,2
36646,5,Korean Music Ensemble VIII,Major elective,Hyun Jung Ahn,1,2
34985,1,Modern Landscape Painting,Major elective,Lee Jee Eun,3,3
20956,3,Drawing Workshop II,Major elective,Hyemin PARK,3,3
34192,1,Welding,Major elective,Euyoung Hong,3,3
37347,1,Media and Photography,Major elective,AN  So Hyun,3,4.5
21183,1,Ceramic Sculpture II,Major elective,Jihye Kim,3,3
21187,1,Environmental Ceramics Ⅱ,Major elective,Hyejeong KIM,3,3
30554,1,Industrial Ceramics II,Major elective,Kim Mikyoung,3,3
